City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
125,Tutoia,BR,89.58,scattered clouds,-2.7619,-42.2744,Pousada Guará's
126,Acarau,BR,87.78,broken clouds,-2.8856,-40.12,castelo pizzaria
127,Cabedelo,BR,86.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
136,Caravelas,BR,80.53,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
147,New port richey,US,80.62,overcast clouds,28.2442,-82.7193,Quality Inn & Suites Conference Center
160,Bartica,GY,89.92,broken clouds,6.4,-58.6167,Sloth Island Nature Resort
162,Bouna,CI,80.06,light rain,9.2667,-3.0,Hotel Reserve
165,Moratuwa,LK,77.29,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
166,Uvira,CD,78.44,broken clouds,-3.4067,29.1458,Hotel Suzana
169,Tsaratanana,MG,81.21,moderate rain,-16.7833,47.65,
170,Quatre cocos,MU,75.31,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
173,Santa maria,BR,76.8,overcast clouds,-29.6842,-53.8069,Hotel Morotin
174,Lorengau,PG,82.99,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
180,Mokolo,CM,81.99,clear sky,10.7398,13.8019,Diwa Hôtel
186,Noumea,NC,77.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
191,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
193,Vaini,TO,75.36,light rain,-21.2,-175.2,Keleti Beach Resort
197,Ocos,GT,88.72,clear sky,14.5094,-92.1933,Auto Hotel El Soñador
199,Avera,US,76.41,overcast clouds,33.194,-82.5271,
203,Grand-santi,GF,85.17,light rain,4.25,-54.3833,Hotel La Villa Couacou
207,Merauke,ID,81.7,overcast clouds,-8.4667,140.3333,
210,Hobyo,SO,80.82,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
211,Auki,SB,78.15,few clouds,-8.7676,160.7034,Auki Motel
215,Kouroussa,GN,88.99,broken clouds,10.65,-9.8833,Hotel Paillote
218,Necochea,AR,76.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
221,Toamasina,MG,78.8,light rain,-18.1667,49.3833,Hotel H1
226,Acapulco,MX,84.02,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
227,Takoradi,GH,80.55,overcast clouds,4.8845,-1.7554,Raybow International Hotel
231,Grand gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
233,San policarpo,PH,80.96,moderate rain,12.1791,125.5072,Agapita M. Nicart
237,Galesong,ID,75.22,moderate rain,-5.3166,119.3661,Sapriadi Appy
241,Sola,VU,81.09,few clouds,-13.8833,167.55,Leumerus Bungalows
250,Oriximina,BR,80.11,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
