City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Windsor,CA,42.3001,-83.0165,55.51,63,1,1.99,clear sky
290,Juneau,US,58.3019,-134.4197,35.22,95,90,4.61,overcast clouds
291,Yongan,CN,39.6957,113.6871,20.66,97,54,3.38,broken clouds
292,Aklavik,CA,68.2191,-135.0107,20.23,98,100,2.71,overcast clouds
293,Kailua,US,21.4022,-157.7394,74.07,72,14,4.54,few clouds
294,Camacha,PT,33.0833,-16.3333,67.53,64,75,11.5,broken clouds
295,Dolores,AR,-36.3132,-57.6792,69.85,48,49,10.29,scattered clouds
296,Chicama,PE,-7.8447,-79.1469,64.94,59,50,10.4,scattered clouds
297,Carballo,ES,43.213,-8.691,62.02,80,83,2.37,broken clouds
298,Rawson,AR,-43.3002,-65.1023,82.15,26,91,24.16,overcast clouds
299,Nikolskoye,RU,59.7035,30.7861,41.88,93,100,11.88,light rain
300,Mashivka,UA,49.4431,34.8669,31.91,48,16,2.98,few clouds
301,Quelimane,MZ,-17.8786,36.8883,82.35,83,75,6.91,broken clouds
302,Ust-kut,RU,56.7938,105.7672,26.82,88,100,5.41,overcast clouds
303,Zeya,RU,53.75,127.2667,28.6,49,100,14.58,overcast clouds
304,Nanortalik,GL,60.1432,-45.2371,20.64,63,3,7.61,clear sky
305,Verkhnechusovskiye gorodki,RU,58.1671,57.1086,22.75,85,86,7.14,overcast clouds
306,Eldorado,BR,-23.7869,-54.2836,71.28,89,81,4.14,moderate rain
307,Hobe sound,US,27.0595,-80.1364,82.98,77,50,12.46,light rain
308,Tumpat,MY,6.1978,102.171,75.18,94,40,0.0,light rain
309,Basco,PH,20.4487,121.9702,77.02,78,100,24.34,light rain
310,Port moresby,PG,-9.4431,147.1797,76.42,94,20,5.75,few clouds
311,Fairbanks,US,64.8378,-147.7164,-0.4,80,1,0.0,clear sky
312,Crotone,IT,39.0851,17.1178,66.15,100,20,8.05,light rain
313,Road town,VG,18.4167,-64.6167,86.04,62,40,11.5,scattered clouds
314,Danville,US,36.586,-79.395,77.09,28,1,4.61,clear sky
315,Kavaratti,IN,10.5669,72.642,82.13,72,100,11.05,overcast clouds
316,Olafsvik,IS,64.8945,-23.7142,35.71,73,92,22.97,overcast clouds
317,Methoni,GR,36.8197,21.7049,63.21,53,100,5.48,overcast clouds
318,Puyang,CN,29.4603,119.8861,46.62,76,9,2.3,clear sky
319,Birin,NP,26.8865,88.0718,51.21,74,1,5.14,clear sky
320,Troitsko-pechorsk,RU,62.7084,56.1964,11.28,97,46,3.74,scattered clouds
