City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
158,saldanha,ZA,2021-11-08 18:32:31,-33.0117,17.9442,60.85,73,0,11.81
159,mackenzie,CA,2021-11-08 18:29:08,55.2999,-123.1698,32.22,80,90,12.66
160,bowen,AU,2021-11-08 18:32:32,-20.0167,148.2333,77.22,85,100,5.91
161,ponta delgada,PT,2021-11-08 18:32:32,37.7333,-25.6667,72.5,83,20,12.66
162,poum,NC,2021-11-08 18:32:32,-20.2333,164.0167,75.61,79,48,11.45
163,grand gaube,MU,2021-11-08 18:32:33,-20.0064,57.6608,77.4,86,19,3.0
164,cape town,ZA,2021-11-08 18:32:33,-33.9258,18.4232,63.01,68,20,1.01
165,manama,BH,2021-11-08 18:32:33,26.2154,50.5832,79.34,44,0,0.0
166,pacific grove,US,2021-11-08 18:32:33,36.6177,-121.9166,64.15,50,1,4.0
167,saint george,US,2021-11-08 18:30:59,37.1041,-113.5841,73.87,33,1,1.01
168,port hardy,CA,2021-11-08 18:32:34,50.6996,-127.4199,42.8,93,90,20.71
169,kudahuvadhoo,MV,2021-11-08 18:32:34,2.6708,72.8944,82.89,74,69,15.75
170,khatanga,RU,2021-11-08 18:32:34,71.9667,102.5,-10.95,100,79,7.56
171,puerto ayora,EC,2021-11-08 18:32:34,-0.7393,-90.3518,76.96,72,53,11.5
172,scarborough,GB,2021-11-08 18:30:00,54.2797,-0.4044,53.83,87,75,5.01
173,tutoia,BR,2021-11-08 18:32:35,-2.7619,-42.2744,87.78,74,98,9.33
174,jumla,NP,2021-11-08 18:32:35,29.2747,82.1838,42.19,40,4,4.32
175,inhambane,MZ,2021-11-08 18:32:35,-23.865,35.3833,78.78,89,20,13.8
176,olinda,BR,2021-11-08 18:30:47,-8.0089,-34.8553,83.93,65,40,10.36
177,waingapu,ID,2021-11-08 18:32:36,-9.6567,120.2641,81.43,80,100,1.59
178,san nicolas,PH,2021-11-08 18:32:36,18.1725,120.5953,78.71,89,20,4.61
179,matagami,CA,2021-11-08 18:29:16,49.7502,-77.6328,50.11,81,90,12.66
180,nuuk,GL,2021-11-08 18:33:36,64.1835,-51.7216,25.41,80,75,3.44
181,konevo,RU,2021-11-08 18:33:37,62.1215,39.3192,25.88,77,64,8.68
182,havre-saint-pierre,CA,2021-11-08 18:33:37,50.2334,-63.5986,52.39,71,20,14.97
183,kutum,SD,2021-11-08 18:33:37,14.2,24.6667,76.51,22,49,7.47
184,port elizabeth,ZA,2021-11-08 18:32:41,-33.918,25.5701,57.49,100,90,5.75
185,pandan,PH,2021-11-08 18:33:37,14.0453,124.1694,79.52,88,100,12.39
